job_title,companyName,companyLocation,job_summary,post_date,salary
newFinancial Accountant Senior (Hybrid Work Location),USAA,"Hybrid remote in Charlotte, NC 28244+4 locations",Employees may be eligible for pay incentives based on overall corporate and individual performance or at the discretion of the USAA Board of Directors.,Posted6 days ago,None
Senior Accountant,Autobell Carwash,"Charlotte, NC 28204 (Cherry area)+1 location","Ensure they are made according to sound and generally accepted accounting principles using accounting software or systems.
Lifting – Up to 20 lbs.",EmployerActive 5 days ago,None
Senior Staff Accountant,Wild Wing Cafe,"Charlotte, NC 28277 (Piper Glen Estates area)","Prepare and analyze account analyses, accounting support schedules, and other supporting schedules.
The Senior Accountant plays a critical role in providing…",EmployerActive 2 days ago,None
Senior Staff Accountant,Cato Corporation,"Charlotte, NC 28273 (Montclaire South area)","Research and communicate SEC/GAAP updates;
Assist in the preparation of quarterly (10Q) and annual (10K) reporting;
Oversee the duties of the Junior Accountant.",EmployerActive 18 days ago,None
newSenior Accountant,Latorre Law Firm,"Hybrid remote in Charlotte, NC 28205","As the Senior Accountant you will prepare and maintain the financial records of the firm and will track the firm’s profit and loss, liabilities, assets, and…",Posted6 days ago,None
Senior Accountant - Regulatory Reporting,Ally Financial,"Charlotte, NC 28202 (Downtown Charlotte area)",Ally's compensation program offers market-competitive base pay and pay-for-performance incentives (bonuses) based on achieving personal and company goals.,Posted16 days ago,None
newSenior Accountant,"TRC Staffing Services, Inc.","Charlotte, NC","Excellent time management, organizational and planning skills, with attention to detail.
Audit all invoices, obtain payment approval, entering payments in…",PostedToday,None
Senior Accountant – Remote Flexibility,AccruePartners,"Remote in Charlotte, NC 28203+3 locations","Partner with local business, social service agencies, and health care providers to combine resources.
Member of a local shared services organization in the non…",Posted12 days ago,None
newSenior Accountant,Tatum by Randstad,"Charlotte, NC 28215 (Hickory Grove area)","The Senior Accountant is responsible for all aspects of transactional accounting, maintaining the integrity of the general ledger and preparing monthly and…",Posted8 days ago,None
Senior Accountant - Remote,Everside Health,"Remote in Charlotte, NC 28217","This individual will support to the day-to-day financial accounting and reporting as well as accounts payable, payroll, month-end and year-end close processes.",Posted30+ days ago,None
newSenior Accountant,TalentBridge,"Hybrid remote in Concord, NC 28025+1 location","Assist with tax planning, preparation and strategy with local organizations and clients (no out of town travel needed).
Public Accounting: 2 years (Preferred).",Posted1 day ago,None
Sr Staff Accountant - NASCAR Media Group,NASCAR,"Charlotte, NC",The Sr Staff Accountant - NASCAR Media Group performs various accounting activities within the division’s Finance department while adhering to corporate…,Posted15 days ago,Estimated $68.2K - $86.4K a year
Senior Accounting Specialist,TalentBridge,"Charlotte, NC","Perform moderately complex operational account activities related to maintaining ledger accounts and developing reports.
4 years of accounting experience.",EmployerActive 10 days ago,None
Sr. Accountant,Insight Global,"Hybrid remote in Charlotte, NC+1 location","* Assess current accounting practice and ensure appropriate application of accounting policy.
* Assess current operating environment and drive process…",Posted22 days ago,None
Senior Accountant,Centene Corporation,"Hybrid remote in Charlotte, NC 28262","Conduct special studies, develops, or recommends enhancements to accounting methods and procedures.
Adapt accounting and recordkeeping functions to current…",Posted30+ days ago,None
newSenior Accountant,Vaco,"Charlotte, NC+1 location","Work closely with external CPA firm regarding tax filings.
Develop within the company; be mentored and grown as a leader from the minute you're hired.",Posted1 day ago,None
Senior Project Accountant,Pike Corporation,"Fort Mill, SC 29715"," Maintain an understanding of current corporate allocations and be a resource for operations with any inquiries relating to them.
Up to 10 Pounds None.",Posted30+ days ago,Estimated $50.8K - $64.4K a year
Senior Accountant,Blumenthal Performing A,"Charlotte, NC 28202 (Downtown Charlotte area)","An equivalent combination of education, training and experience that provides the required knowledge, skills and abilities may be accepted in lieu of a bachelor…",Posted30+ days ago,Estimated $62.5K - $79.1K a year
Senior Accountant,Relation Insurance,"Charlotte, NC 28277 (Ballantyne East area)+1 location","Prepares schedules for year-end audit for independent external auditors.
The Senior Accountant is primarily responsible for complex accounting activities…",Posted30+ days ago,Estimated $72.5K - $91.7K a year
Senior Accountant,Columbus McKinnon Corporation,"Charlotte, NC 28273 (Olde Whitehall area)",Position Overview: The Senior Accountant is to provide superior support to the Finance Director and accounting staff as well as business operations.,Posted9 days ago,Estimated $71.7K - $90.9K a year
newSenior Accountant,Hearst Media Services,"Charlotte, NC 28277 (Whiteoak area)","Responsible for a variety of GL functions such as intercompany reporting, order-to-cash, procure to pay, record to report, payroll, and benefit processes.",Posted2 days ago,Estimated $74K - $93.8K a year
Senior Accountant,Ascendo Resources,"Charlotte, NC","Proven experience as a financial controller, accounting supervisor, chief or senior accountant.
The ideal candidate has experience collaborating and/or managing…",EmployerActive 18 days ago,None
Sr Staff Accountant - NASCAR Media Group,NASCAR,"Charlotte, NC",The Sr Staff Accountant - NASCAR Media Group performs various accounting activities within the division’s Finance department while adhering to corporate…,Posted15 days ago,Estimated $68.2K - $86.4K a year
newSenior Fund Accountant,Citco,"Charlotte, NC 28244 (Fourth Ward area)",You will form part of a professional team responsible for maintaining the books and records of the funds & preparing fund financial reports and investor…,Posted2 days ago,Estimated $69.9K - $88.5K a year
Senior Accountant,Magnolia Wash Holdings,"Charlotte, NC 28209 (Barclay Downs area)","In this position, you will be responsible for assisting in the management of the General Ledger.
This role will also include providing information to the…",EmployerActive 4 days ago,None
Senior Accountant,Northwood Ravin,"Charlotte, NC 28202 (Downtown Charlotte area)","Record monthly depreciation and amortization schedules.
Prepare monthly operating financials for Residential properties (Operating Statements, Balance Sheets,…",Posted30+ days ago,Estimated $62.8K - $79.6K a year
Sr. Accountant,Insight Global,"Hybrid remote in Charlotte, NC+1 location","* Assess current accounting practice and ensure appropriate application of accounting policy.
* Assess current operating environment and drive process…",Posted22 days ago,None
Senior Accounting Specialist,TalentBridge,"Charlotte, NC","Perform moderately complex operational account activities related to maintaining ledger accounts and developing reports.
4 years of accounting experience.",EmployerActive 10 days ago,None
Senior Accountant,Daniels Company (West Virginia) Inc,"Charlotte, NC 28210 (Barclay Downs area)","Charlotte, NC 28210: Reliably commute or planning to relocate before starting work (Preferred).
Responsible for the accounting operations of the company.",EmployerActive 4 days ago,None
Senior Accountant,Communities In Schools of Charlotte-Mecklenburg In,"Charlotte, NC","Reporting to the VP of Finance, the Senior Accountant will support agency wide accounting services and other related financial functions.",Posted30+ days ago,Estimated $66.2K - $83.8K a year
Senior Fund Accountant,Ryan Consulting Group,"Charlotte, NC 28206 (Greenville area)","May review and approve journal entries or other work prepared by other accountants.
This position will not manage any direct reports but may supervise and…",EmployerActive 16 days ago,None
"Senior, Accountant - General Ledger",3D Systems,"Hybrid remote in Rock Hill, SC 29730","Responsible for day-to-day accounting and monthly close activities, helping to ensure the Company’s financial statements and resulting supporting schedules are…",Posted12 days ago,Estimated $72.3K - $91.5K a year
Senior Internal Auditor,City of Charlotte and Mecklenburg County,"Charlotte, NC",This position will perform audits that address financial and business operations among highly varied City Departments in accordance with generally accepted…,Posted30+ days ago,None
newSenior Cost Accountant,SSS,"Charlotte, NC 28216 (Thomasboro-Hoskins area)",Define and coordinate the budgeting and forecasting process on cost center level (i.e. providing templates; input of data into SAP; plausibility checks).,EmployerActive 4 days ago,None
Senior Mortgage Staff Accountant,Red Ventures,"Hybrid remote in Charlotte, NC","Participates in departmental efforts related to audits and research, and acts as an accounting resource to special projects.",Posted30+ days ago,Estimated $74.9K - $94.9K a year
newSenior Corporate Accountant,Elior North America,"Charlotte, NC 28202 (Downtown Charlotte area)","Review certain tasks of staff accountant.
Must pay close attention to detail and have a high degree of accuracy in work product.
BS or BA in Accounting.",Posted6 days ago,None
Senior Accountant,EnPro Industries,"Charlotte, NC 28209 (Ashbrook-Clawson Village area)","The senior accountant will be responsible for financial reporting, technical accounting, internal control (SOX), and analysis of financial results for the…",Posted30+ days ago,None
Senior Accounting Specialist,TalentBridge,"Charlotte, NC","Perform moderately complex operational account activities related to maintaining ledger accounts and developing reports.
4 years of accounting experience.",EmployerActive 10 days ago,None
Senior Project Accountant,Pike Corporation,"Fort Mill, SC 29715"," Maintain an understanding of current corporate allocations and be a resource for operations with any inquiries relating to them.
Up to 10 Pounds None.",Posted30+ days ago,Estimated $50.8K - $64.4K a year
newSr. Corporate Accountant,Alpha Capital Partners LLC,"Charlotte, NC 28204 (Elizabeth area)",We are looking for an experienced Sr. Corporate Accountant to oversee general accounting operations by managing our financial transactions.,Posted7 days ago,Estimated $72.9K - $92.3K a year
newSenior Fund Accountant,Citco,"Charlotte, NC 28244 (Fourth Ward area)",You will form part of a professional team responsible for maintaining the books and records of the funds & preparing fund financial reports and investor…,Posted2 days ago,Estimated $69.9K - $88.5K a year
Sr. Accountant,Insight Global,"Hybrid remote in Charlotte, NC+1 location","* Assess current accounting practice and ensure appropriate application of accounting policy.
* Assess current operating environment and drive process…",Posted22 days ago,None
newSenior Staff Accountant - Remote,House Buyers of America,"Remote in Charlotte, NC 28105","Prepare financial data for both business and CEO’s personal accounts for our CPA firm to file tax returns.
Prepare reports financial reports such as tracking…",Posted7 days ago,Estimated $63.5K - $80.5K a year
Sr Accountant / Financial Analyst,CBI,"Charlotte, NC 28217","Key player in the implementation of a new ERP system, especially in the area of architecting reports that will replace the current ""manual"" processes.",Posted30+ days ago,None
"newInternal Audit Senior Associate, Banking",Dixon Hughes Goodman,"Charlotte, NC 28209 (Barclay Downs area)","Coordinates with the Manager, Senior Manager, or Partner on all phases of the engagement, including execution of the engagement letter, communications with the…",Posted1 day ago,Estimated $79.1K - $100K a year
Senior Tax Analyst,"Dole Food Company, Inc.","Charlotte, NC","Prepare federal and state tax returns, and assist with tax planning opportunities, and compute estimated tax payments for US.",Posted23 days ago,Estimated $82.8K - $105K a year
Senior Associate - Corporate Accounting,Asana Partners,"Charlotte, NC 28203 (Dilworth area)","The role is a critical position on our team that reports to the Director of Corporate Accounting and works closely with the Chief Accounting Officer, Treasury…",Posted11 days ago,Estimated $100K - $127K a year
Senior Corporate Accountant,Snap One,"Charlotte, NC 28273 (Olde Whitehall area)","Reporting to the General Accounting & Inventory Manager, the Senior Corporate Accountant will focus on a variety of matters including, but not limited to month…",Posted22 days ago,Estimated $74.7K - $94.5K a year
Senior Property Accountant,Colliers International,"Charlotte, NC","You also thrive on sharing your knowledge and participate in training for new accountants.
You thrive on working within deadlines and providing strong financial…",Posted30+ days ago,None
Senior Accountant,Communities In Schools of Charlotte-Mecklenburg In,"Charlotte, NC","Reporting to the VP of Finance, the Senior Accountant will support agency wide accounting services and other related financial functions.",Posted30+ days ago,Estimated $66.2K - $83.8K a year
newAssurance Services Senior - Financial Services - Financial A...,EY,"Charlotte, NC 28217 (Eagle Lake area)","Knowledge of current market issues in financial services in the US.
Upon embarking on a journey with us, you will experience professional development through…",Posted1 day ago,None
Senior Accounting Specialist,TalentBridge,"Charlotte, NC","Perform moderately complex operational account activities related to maintaining ledger accounts and developing reports.
4 years of accounting experience.",EmployerActive 10 days ago,None
Sr. Accountant,Insight Global,"Hybrid remote in Charlotte, NC+1 location","* Assess current accounting practice and ensure appropriate application of accounting policy.
* Assess current operating environment and drive process…",Posted22 days ago,None
newSenior Accountant,"Nest Homes, LLC","Mooresville, NC 28117","Make and record timely interest payments in the appropriate set of books.
Primary charge for day-to-day accounting and journal entries for all Nest Sub-entities…",EmployerActive 3 days ago,None
Senior Accountant,Fast-Growing-Trees.com,"Charlotte, NC 28203 (Wilmore area)","Prepare the month end reporting package for senior leadership.
Assist with set up and processing of weekly payments through Bill.com.",EmployerActive 18 days ago,Estimated $63K - $79.8K a year
Senior Investment Accountant,DHG,"Charlotte, NC 28202 (First Ward area)","Candidates should have strong oral and written communication skills, and experience with insurance investment accounting.",Posted16 days ago,None
newSenior Accountant,Goulston,"Monroe, NC 28111",JOB SUMMARY: Responsible for the accounting operations that includes the creation of financial reports and the maintenance of adequate systems to maintain…,Posted4 days ago,Estimated $63.9K - $80.9K a year
Senior Accountant,Lennar Homes,"Charlotte, NC 28202 (Dilworth area)","Ensure financial records are maintained in compliance with accepted policies and procedures.
Prepare and input journal entries and ensure entries are accurate…",Posted19 days ago,None
Senior Accountant,Lowe's,"Hybrid remote in Mooresville, NC 28117","Reviews tax compliance returns to ensure accuracy of the data and payments.
The primary purpose of this role is to conduct the financial and accounting…",Posted30+ days ago,None
"Accounting and Finance Professionals – Senior Associates, As...",The Siegfried Group,"Charlotte, NC","Strong communication & interpersonal skills, displaying the ability to connect and build relationships with clients, firm leadership, & peers.",Posted30+ days ago,Estimated $102K - $130K a year
"Senior Accountant, Reporting & Technical Accounting",Circle,"Remote in Charlotte, NC+1 location","Circle is looking for a motivated Senior Accountant, Reporting & Technical Accounting to support the overall accounting function and help solve technical…",Posted30+ days ago,Estimated $77.3K - $97.9K a year
Senior Tax Accountant- US Indirect Tax,Trane Technologies,"Davidson, NC 28036",The individual will work with a high level of independence but will need to coordinate with others across multiple functions from a state and local tax planning…,Posted30+ days ago,None
Senior Accountant,Nwr Services Llc,"Charlotte, NC 28202 (Downtown Charlotte area)","Record monthly depreciation and amortization schedules.
Prepare monthly operating financials for Residential properties (Operating Statements, Balance Sheets,…",Posted30+ days ago,Estimated $62.8K - $79.6K a year
Senior Accountant,Northwood Ravin,"Charlotte, NC 28202 (Downtown Charlotte area)","Record monthly depreciation and amortization schedules.
Prepare monthly operating financials for Residential properties (Operating Statements, Balance Sheets,…",Posted30+ days ago,Estimated $62.8K - $79.6K a year
"Senior, Revenue & Receivables Accounting","Discovery Education, Inc.","Charlotte, NC 28209 (Ashbrook-Clawson Village area)",This person will be responsible for supporting the Order to Cash/Revenue & Receivables process and the setup of sales contracts in our financial reporting…,Posted19 days ago,Estimated $80K - $101K a year
newSenior Accountant,Tatum by Randstad,"Charlotte, NC 28215 (Hickory Grove area)","The Senior Accountant is responsible for all aspects of transactional accounting, maintaining the integrity of the general ledger and preparing monthly and…",Posted8 days ago,None
newSenior Accountant,TalentBridge,"Hybrid remote in Concord, NC 28025+1 location","Assist with tax planning, preparation and strategy with local organizations and clients (no out of town travel needed).
Public Accounting: 2 years (Preferred).",Posted1 day ago,None
Senior Accountant,"Schaefer Systems International, Inc.","Charlotte, NC 28273 (Olde Whitehall area)+1 location","Strong planning and budgeting abilities.
Assists outside accounting firm with annual external audits.
Provides P&L commentary for current and YTD comparisons to…",Posted30+ days ago,Estimated $73.9K - $93.5K a year
Senior Accountant - Corporate Accounting,Adams Outdoor,"Charlotte, NC 28262 (University City North area)","Prepares work papers for and interacts with the company's tax accountants.
JOB SUMMARY: Responsible for accounting transactions and maintenance of books of…",Posted30+ days ago,Estimated $70.3K - $89.1K a year
Sr. Auditor-REMOTE,MSC Industrial Supply Co.,"Remote in Davidson, NC","Assists Audit Management with the planning of operational audits (functional areas, distribution centers and branches) including preliminary understandings,…",Posted30+ days ago,None
Senior Accountant Supply Chain,Electrolux,"Charlotte, NC","Strong understanding of financial reporting, accounting, planning and economics.
The Senior Accountant – Supply Chain will ensure accurate and complete…",Posted30+ days ago,None
"Senior Accountant - Technical Accounting, Reporting and Poli...",Trane Technologies,"Davidson, NC 28036","Minimum of 2 years of experience with a Big 4 firm, or similar roles in a Fortune 1000 company in a Technical Accounting and/or SEC reporting capacity.",Posted9 days ago,None
Senior Accountant and Financial Analyst,McLeod Addictive Disease Center,"Hybrid remote in Charlotte, NC 28217",McLeod Center is currently accepting applications for a Full-time Senior Accountant and Financial Analyst to work in the Finance Department at its headquarters…,Posted30+ days ago,None
Senior Accountant,Blumenthal Performing A,"Charlotte, NC 28202 (Downtown Charlotte area)","An equivalent combination of education, training and experience that provides the required knowledge, skills and abilities may be accepted in lieu of a bachelor…",Posted30+ days ago,Estimated $62.5K - $79.1K a year
Senior General Accountant,"DCE Solar, Inc","Cornelius, NC 28031","The company offers a competitive salary with tier 1 benefits of medical, dental, vision and a company supported 401k plan and finally, a blended work from home…",EmployerActive 9 days ago,None
"Senior Manager, Corporate Accounting - Opportunity for Worki...",VMware,"Remote in Charlotte, NC","With your technical accounting expertise and knowledge in inventory and cost accounting, stock-based compensation and deferred commissions, you will be the…",Posted30+ days ago,None
newESG Finance Team - Senior Product / Specialty Controller,Bank of America,"Charlotte, NC 28202 (Fourth Ward area)","The primary focus of our team is to lead the strategic development of ESG reporting and disclosures within the CFO organization, including operations, systems,…",Posted1 day ago,None
Senior Financial Analyst Reporting / Accounting Policy,IT Solution,"Charlotte, NC","This role applies business acumen to promote a culture of risk management and the identification, escalation and timely execution of value added testing over…",EmployerActive 3 days ago,None
newSr Internal Auditor (Hybrid work option),Humanity,"Hybrid remote in Charlotte, NC+4 locations","This position is responsible for planning and performing operational, financial and compliance audits under the supervision of an Internal Audit Manager,…",Posted5 days ago,Estimated $78.6K - $99.6K a year
Senior Accountant - Consolidations,Ryder System,"Charlotte, NC 28230 (Cherry area)+1 location","This position will assist the accounting group with monthly reporting to management of operating results, balance sheet account analyses and reconciliations,…",Posted30+ days ago,None
newSr. Tax Accountant,Krispy Kreme,"Hybrid remote in Charlotte, NC 28203",You will have a passion for tax compliance and tax planning while assisting the tax department with providing strategic insights and recommendations needed for…,Posted6 days ago,None
newSenior Accountant,Tatum by Randstad,"Charlotte, NC 28215 (Hickory Grove area)","The Senior Accountant is responsible for all aspects of transactional accounting, maintaining the integrity of the general ledger and preparing monthly and…",Posted8 days ago,None
Senior Staff Accountant,River Rock Capital Partners,"Mooresville, NC 28117","Select invoices and print payments as needed for entities.
We are looking to find candidates with financial and analytical experience who are highly motivated…",Posted30+ days ago,Estimated $53.5K - $67.7K a year
newSenior Accountant,TalentBridge,"Hybrid remote in Concord, NC 28025+1 location","Assist with tax planning, preparation and strategy with local organizations and clients (no out of town travel needed).
Public Accounting: 2 years (Preferred).",Posted1 day ago,None
newSenior Tax Analyst,Bank of America,"Charlotte, NC 28202 (Fourth Ward area)","Perform tax research and tax analysis related to Tax Planning & Advisory projects including preparation of tax memoranda.
5+ years total tax experience.",Posted8 days ago,None
Sr. Financial Accountant,JELD-WEN,"Charlotte, NC 28273 (Olde Whitehall area)","As a valued member of the Finance Team, the Senior Financial Accountant will support the business by assisting in monthly accounting, financial reporting,…",Posted30+ days ago,None
Senior Accountant,Kindred at Home - Hospice Division,"Mooresville, NC 28117","You will be responsible for internal controls, accounting, auditing, and process improvement.
Senior Accountant will ensure that internal controls are performed…",Posted30+ days ago,None
